2023;Восход;Зенит;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
04.10;07:13;12:48;18:24;11:11:37;−5:22;04:53;05:43;06:31;19:05;19:54;20:44
05.10;07:15;12:48;18:21;11:06:15;−5:22;04:55;05:45;06:34;19:02;19:51;20:41
06.10;07:17;12:48;18:18;11:00:52;−5:23;04:58;05:48;06:36;19:00;19:48;20:37
07.10;07:20;12:47;18:15;10:55:29;−5:23;05:00;05:50;06:38;18:57;19:45;20:34
08.10;07:22;12:47;18:12;10:50:07;−5:22;05:03;05:53;06:41;18:54;19:42;20:31
09.10;07:24;12:47;18:09;10:44:45;−5:22;05:06;05:55;06:43;18:51;19:39;20:28
10.10;07:27;12:47;18:06;10:39:23;−5:22;05:08;05:57;06:45;18:48;19:36;20:25
11.10;07:29;12:46;18:03;10:34:00;−5:23;05:11;06:00;06:48;18:45;19:33;20:22
12.10;07:32;12:46;18:00;10:28:39;−5:21;05:13;06:02;06:50;18:42;19:30;20:19
13.10;07:34;12:46;17:57;10:23:17;−5:22;05:16;06:04;06:52;18:39;19:27;20:16
14.10;07:37;12:46;17:55;10:17:56;−5:21;05:18;06:07;06:55;18:37;19:24;20:13
15.10;07:39;12:45;17:52;10:12:34;−5:22;05:21;06:09;06:57;18:34;19:22;20:10
16.10;07:41;12:45;17:49;10:07:14;−5:20;05:23;06:11;06:59;18:31;19:19;20:07
17.10;07:44;12:45;17:46;10:01:54;−5:20;05:25;06:14;07:02;18:28;19:16;20:04
18.10;07:46;12:45;17:43;09:56:34;−5:20;05:28;06:16;07:04;18:25;19:13;20:02
19.10;07:49;12:45;17:40;09:51:14;−5:20;05:30;06:18;07:06;18:23;19:11;19:59
20.10;07:51;12:44;17:37;09:45:54;−5:20;05:32;06:21;07:09;18:20;19:08;19:56
21.10;07:54;12:44;17:34;09:40:35;−5:19;05:35;06:23;07:11;18:17;19:06;19:54
22.10;07:56;12:44;17:32;09:35:17;−5:18;05:37;06:25;07:13;18:15;19:03;19:51
23.10;07:59;12:44;17:29;09:29:59;−5:18;05:39;06:27;07:16;18:12;19:00;19:48
24.10;08:01;12:44;17:26;09:24:42;−5:17;05:42;06:30;07:18;18:10;18:58;19:46
25.10;08:04;12:44;17:23;09:19:25;−5:17;05:44;06:32;07:20;18:07;18:55;19:43
26.10;08:07;12:44;17:21;09:14:09;−5:16;05:46;06:34;07:23;18:04;18:53;19:41
27.10;08:09;12:43;17:18;09:08:55;−5:14;05:49;06:36;07:25;18:02;18:51;19:38
28.10;08:12;12:43;17:15;09:03:40;−5:15;05:51;06:39;07:27;17:59;18:48;19:36
29.10;08:14;12:43;17:13;08:58:27;−5:13;05:53;06:41;07:30;17:57;18:46;19:34
30.10;08:17;12:43;17:10;08:53:15;−5:12;05:55;06:43;07:32;17:55;18:44;19:31
31.10;08:19;12:43;17:07;08:48:04;−5:11;05:57;06:45;07:34;17:52;18:41;19:29
01.11;08:22;12:43;17:05;08:42:54;−5:10;06:00;06:48;07:37;17:50;18:39;19:27
02.11;08:24;12:43;17:02;08:37:46;−5:08;06:02;06:50;07:39;17:47;18:37;19:25
03.11;08:27;12:43;17:00;08:32:39;−5:07;06:04;06:52;07:41;17:45;18:35;19:23
04.11;08:30;12:43;16:57;08:27:34;−5:05;06:06;06:54;07:44;17:43;18:33;19:21
05.11;08:32;12:43;16:55;08:22:29;−5:05;06:08;06:56;07:46;17:41;18:30;19:19
06.11;08:35;12:43;16:52;08:17:27;−5:02;06:10;06:58;07:48;17:38;18:28;19:17
07.11;08:37;12:43;16:50;08:12:27;−5:00;06:12;07:01;07:51;17:36;18:26;19:15
08.11;08:40;12:44;16:47;08:07:29;−4:58;06:14;07:03;07:53;17:34;18:24;19:13
09.11;08:42;12:44;16:45;08:02:32;−4:57;06:16;07:05;07:55;17:32;18:23;19:11
10.11;08:45;12:44;16:43;07:57:39;−4:53;06:18;07:07;07:58;17:30;18:21;19:09
11.11;08:47;12:44;16:40;07:52:48;−4:51;06:20;07:09;08:00;17:28;18:19;19:07
12.11;08:50;12:44;16:38;07:47:59;−4:49;06:22;07:11;08:02;17:26;18:17;19:06
13.11;08:53;12:44;16:36;07:43:13;−4:46;06:24;07:13;08:04;17:24;18:15;19:04
14.11;08:55;12:44;16:34;07:38:30;−4:43;06:26;07:15;08:07;17:22;18:14;19:02
15.11;08:58;12:45;16:31;07:33:51;−4:39;06:28;07:17;08:09;17:20;18:12;19:01
16.11;09:00;12:45;16:29;07:29:14;−4:37;06:30;07:19;08:11;17:18;18:10;18:59
17.11;09:03;12:45;16:27;07:24:41;−4:33;06:32;07:21;08:13;17:17;18:09;18:58
18.11;09:05;12:45;16:25;07:20:12;−4:29;06:34;07:23;08:15;17:15;18:07;18:56
19.11;09:07;12:45;16:23;07:15:47;−4:25;06:36;07:25;08:17;17:13;18:06;18:55
20.11;09:10;12:46;16:21;07:11:26;−4:21;06:38;07:27;08:19;17:12;18:04;18:54
21.11;09:12;12:46;16:19;07:07:09;−4:17;06:39;07:29;08:21;17:10;18:03;18:52
22.11;09:15;12:46;16:18;07:02:57;−4:12;06:41;07:31;08:24;17:09;18:02;18:51
23.11;09:17;12:46;16:16;06:58:49;−4:08;06:43;07:32;08:26;17:07;18:00;18:50
24.11;09:19;12:47;16:14;06:54:47;−4:02;06:44;07:34;08:28;17:06;17:59;18:49
25.11;09:22;12:47;16:12;06:50:51;−3:56;06:46;07:36;08:29;17:05;17:58;18:48
26.11;09:24;12:47;16:11;06:46:59;−3:52;06:48;07:38;08:31;17:03;17:57;18:47
27.11;09:26;12:48;16:09;06:43:14;−3:45;06:49;07:39;08:33;17:02;17:56;18:46
28.11;09:28;12:48;16:08;06:39:35;−3:39;06:51;07:41;08:35;17:01;17:55;18:45
29.11;09:30;12:48;16:06;06:36:01;−3:34;06:52;07:43;08:37;17:00;17:54;18:44
30.11;09:32;12:49;16:05;06:32:36;−3:25;06:54;07:44;08:39;16:59;17:53;18:43
01.12;09:34;12:49;16:04;06:29:16;−3:20;06:55;07:46;08:40;16:58;17:52;18:43
02.12;09:36;12:49;16:02;06:26:04;−3:12;06:57;07:47;08:42;16:57;17:52;18:42
03.12;09:38;12:50;16:01;06:23:00;−3:04;06:58;07:49;08:44;16:56;17:51;18:41
04.12;09:40;12:50;16:00;06:20:04;−2:56;07:00;07:50;08:45;16:55;17:50;18:41
05.12;09:42;12:51;15:59;06:17:15;−2:49;07:01;07:52;08:47;16:54;17:50;18:40
06.12;09:44;12:51;15:58;06:14:35;−2:40;07:02;07:53;08:48;16:54;17:49;18:40
07.12;09:45;12:51;15:57;06:12:03;−2:32;07:03;07:54;08:50;16:53;17:49;18:40
08.12;09:47;12:52;15:57;06:09:40;−2:23;07:05;07:55;08:51;16:53;17:48;18:39
09.12;09:49;12:52;15:56;06:07:27;−2:13;07:06;07:57;08:53;16:52;17:48;18:39
10.12;09:50;12:53;15:55;06:05:23;−2:04;07:07;07:58;08:54;16:52;17:48;18:39
11.12;09:51;12:53;15:55;06:03:28;−1:55;07:08;07:59;08:55;16:51;17:48;18:39
12.12;09:53;12:54;15:55;06:01:43;−1:45;07:09;08:00;08:56;16:51;17:47;18:39
13.12;09:54;12:54;15:54;06:00:08;−1:35;07:10;08:01;08:57;16:51;17:47;18:38
14.12;09:55;12:55;15:54;05:58:43;−1:25;07:11;08:02;08:58;16:51;17:47;18:39
15.12;09:56;12:55;15:54;05:57:29;−1:14;07:12;08:03;08:59;16:51;17:47;18:39
16.12;09:57;12:56;15:54;05:56:25;−1:04;07:12;08:04;09:00;16:51;17:47;18:39
17.12;09:58;12:56;15:54;05:55:32;−0:53;07:13;08:04;09:01;16:51;17:48;18:39
18.12;09:59;12:56;15:54;05:54:50;−0:42;07:14;08:05;09:02;16:51;17:48;18:39
19.12;10:00;12:57;15:54;05:54:17;−0:33;07:14;08:06;09:02;16:52;17:48;18:40
20.12;10:00;12:57;15:54;05:53:57;−0:20;07:15;08:06;09:03;16:52;17:49;18:40
21.12;10:01;12:58;15:55;05:53:48;−0:09;07:15;08:07;09:03;16:52;17:49;18:40
22.12;10:01;12:58;15:55;05:53:48;0:00;07:16;08:07;09:04;16:53;17:49;18:41
23.12;10:02;12:59;15:56;05:54:01;+0:13;07:16;08:08;09:04;16:53;17:50;18:41
24.12;10:02;12:59;15:57;05:54:24;+0:23;07:17;08:08;09:05;16:54;17:51;18:42
25.12;10:02;13:00;15:57;05:54:59;+0:35;07:17;08:08;09:05;16:55;17:51;18:43
26.12;10:02;13:00;15:58;05:55:43;+0:44;07:17;08:09;09:05;16:55;17:52;18:43
27.12;10:02;13:01;15:59;05:56:40;+0:57;07:17;08:09;09:05;16:56;17:53;18:44
28.12;10:02;13:01;16:00;05:57:45;+1:05;07:18;08:09;09:05;16:57;17:54;18:45
29.12;10:02;13:02;16:01;05:59:02;+1:17;07:18;08:09;09:05;16:58;17:55;18:46
30.12;10:02;13:02;16:02;06:00:30;+1:28;07:18;08:09;09:05;16:59;17:56;18:47
31.12;10:02;13:03;16:04;06:02:08;+1:38;07:18;08:09;09:05;17:00;17:57;18:48
